ModulusName,Method,Factor,Note
test80,prho,104252441789,
test80,ppm1,104252441789,
test100,prho,533897776708319,
test120,prho,559424898215875177,
test140,prho,144443706418898999027,
tricky4,prho,624351658627136977,
BartlettPear,prho,32650730669998853,
BartlettPear,ppm1,27233865470361857,
Bean,prho,1991044575455181971,
Blubberhouses,prho,314159265883,
Blubberhouses,ppm1,314159265883,
Blueberry,prho,430541492070798889397,
BumbleFruit,prho,397791636023,
Chard,prho,547788275919007,
Chard,ppm1,547788275919007,
Durian,prho,3,
Durian,ppm1,3,
GreenPepper,prho,20144753658858820249,
Lychee,prho,3,
Lychee,ppm1,3,
Manchester,prho,3,
Manchester,ppm1,3,
Manioc,prho,396765842967017519,
Medlar,prho,33401527996761227,
Nectarine,prho,3,
Nectarine,ppm1,3,
Peach,prho,428738555384799487,
Quince,prho,67642954069763417,
Tiddleywink,prho,3,
Tiddleywink,ppm1,3,
York,prho,231748728593,